ETC_20150317_000001	Кепа
ETC_20150323_009648	Монстры учуял яд, они идут в!
ETC_20150323_009649	Пробудить Скорпион
ETC_20150323_009650	Пить
ETC_20150323_009651	Ну тогда, давайте начнем!
ETC_20150323_009652	Я буду активировать барьеры сейчас.
ETC_20150323_009653	Теперь, я рад.
ETC_20150323_009654	Пожилой Фермер
ETC_20150323_009655	Я буду отомстить за моего сына!
ETC_20150323_009656	What? Why aren't they following my orders! 
ETC_20150323_009657	Он-... помоги мне!
ETC_20150323_009658	Друид студентка
ETC_20150323_009659	Shaton, нет!
ETC_20150323_009660	Ох...
ETC_20150323_009661	Shaton Солдат Генерал
ETC_20150323_009662	Shaton Солдата
ETC_20150323_009663	Ты жив!
ETC_20150323_009664	Это можно продолжать бесконечно...
ETC_20150323_009665	Они бегут!
ETC_20150323_009666	Спешите!
ETC_20150323_009667	Используем ветку!
ETC_20150323_009668	Поражение Yonazolem!
ETC_20150323_009669	Вы коснулись гнилого мяса, и Reaverpede появился!
ETC_20150323_009670	Сын! Проснуться...
ETC_20150323_009671	Барьер защищает дерево корень Кристалл Лени появился!{бл}лучше уничтожить все, прежде чем она исчезнет.
ETC_20150323_009672	Огонь похоже, она умрет в ближайшее время.{бл}получить больше розжиг от монстров и поддерживать огонь живым.
ETC_20150323_009673	Поражение души связывание слиянием!
ETC_20150323_009674	Finally... Am I Бесплатно? 
ETC_20150323_009675	Нет! Вытащи меня!
ETC_20150323_009676	Святилища, должно быть, был поврежден. Нет благословения и монстры маршируют!
ETC_20150323_009677	Pilgrim Даллас
ETC_20150323_009678	Священник Жадан
ETC_20150323_009679	Даллас могилу
ETC_20150323_009680	Мы не можем говорить об этом здесь, поэтому, пожалуйста, Найди меня в Ukis сельхозугодий.
ETC_20150323_009681	Таинственный Алтарь
ETC_20150323_009682	Солдат Gatus
ETC_20150323_009683	Солдат Туран
ETC_20150323_009684	Солдат Рамос
ETC_20150323_009685	Солдат Варан
ETC_20150323_009686	Ретрит!
ETC_20150323_009687	Неистовые монстры глядя на вас!
ETC_20150323_009688	Анти-Монстр Распространения Устройства
ETC_20150323_009689	Ты появился
ETC_20150323_009690	Вы имеете в виду Vakarine...{ея}оставит меня в покое??
ETC_20150323_009691	Hauberk...
ETC_20150323_009692	Да.
ETC_20150323_009693	Я хочу поговорить с вашим партнером {ея}о деталях ситуации.
ETC_20150323_009694	Защиты кольчуга в то время как он поглощает энергию из алтаря!
ETC_20150323_009695	Блуте алтарь
ETC_20150323_009696	Защитить меня, пока я выполняю ритуал
ETC_20150323_009697	Вы не можете поймать меня!
ETC_20150323_009698	Поражение Блуте!!
ETC_20150323_009699	Вы умрете здесь сегодня, Блуте!
ETC_20150323_009700	Поражение Nuaele!
ETC_20150323_009701	Как ты...
ETC_20150323_009702	Блокировать их!
ETC_20150323_009703	Ты не получишь меня!
ETC_20150323_009704	Будьте бдительны.
ETC_20150323_009705	Вы сделали здесь!
ETC_20150323_009706	Я пришел, чтобы получить обратно то, что принадлежит мне!
ETC_20150323_009707	Hauberk's Clone
ETC_20150323_009708	Иди, мой meinies!
ETC_20150323_009709	Я буду блокировать эту область.
ETC_20150323_009710	Get Hauberk!
ETC_20150323_009711	Пора возвращаться, Хауберк
ETC_20150323_009712	Сдавайся, кольчугу!
ETC_20150323_009713	Vakarine хочет, чтобы ты вернулся.
ETC_20150323_009714	Это не должно тебя беспокоить
ETC_20150323_009715	Valtross
ETC_20150323_009716	Vakarine!
ETC_20150323_009717	Я буду следовать
ETC_20150323_009718	Защитить Zydrone пока она завершает ключом Ночная Звезда!
ETC_20150323_009719	Цепь возвращает мой!
ETC_20150323_009720	Stop it Hauberk!
ETC_20150323_009721	Получить Дионисия!
ETC_20150323_009722	Выпустив последнюю печать.
ETC_20150323_009723	Следуй за мной
ETC_20150323_009724	Дионисия, богиня ждет тебя
ETC_20150323_009725	Я проклинаю вас всех!
ETC_20150323_009726	Элементалист 2-го круга требуется
ETC_20150323_009727	Элементалиста 3-го круга требуется
ETC_20150323_009728	Завершено 10 overkills.
ETC_20150323_009729	Новичок Overkiller
ETC_20150323_009730	Завершено 50 overkills
ETC_20150323_009731	Завершена 200 overkills
ETC_20150323_009732	Начинающий Босс Охотник
ETC_20150323_009733	Вы победили 10 боссов
ETC_20150323_009734	Эксперт Босс Охотник
ETC_20150323_009735	Вы победили 30 Босс монстров
ETC_20150323_009736	Вы победили 50 Босс монстров
ETC_20150323_009737	Мастер-Босс Охотник
ETC_20150323_009738	Вы победили 200 боссов
ETC_20150323_009739	Вы завершили более 20 раз воскресить с iCoin.
ETC_20150323_009740	Ты преуспел крафта 3 раза. Вы чувствуете, как вы уже выиграли.
ETC_20150323_009741	Ты преуспел крафта в 10 раз. Теперь вы чувствуете себя комфортно, когда вы ремесло.
ETC_20150323_009742	Ты преуспел крафта в 30 раз. Вы можете увидеть Ваши активы увеличиваются.
ETC_20150323_009743	Ты преуспел крафта 100 раз. Не нужно слов.
ETC_20150323_009744	Прическа Цвет1
ETC_20150323_009745	Давайте изменим волос
ETC_20150323_009746	Прическа Color2
ETC_20150323_009747	Прическа Color3
ETC_20150323_009748	Прическа Color4
ETC_20150323_009749	Счастливчик
ETC_20150323_009750	Вы ограбили 1 сундук с сокровищами.
ETC_20150323_009751	Охотник За Сокровищами : Новичок
ETC_20150323_009752	Вы ограбили 10 сундуков с сокровищами.
ETC_20150323_009753	Охотник За Сокровищами : Мастер
ETC_20150323_009754	Вы ограбили 100 сундуков с сокровищами.
ETC_20150323_009755	Hanaming Убить Графа
ETC_20150323_009757	- Участник Квеста Граф
ETC_20150323_009758	Алтарь Групповой Бафф
ETC_20150323_009759	Очищение Вклад
ETC_20150323_009760	Вклад в очищение энергетики зло
ETC_20150323_009761	Энергия слабое астральное тело
ETC_20150323_009762	Энергия астрального тела может ощущаться слабо
ETC_20150323_009763	Энергия астрального тела
ETC_20150323_009764	Энергия астрального тела можно почувствовать точно
ETC_20150323_009765	Жуткий Энергии
ETC_20150323_009766	Монстры становятся сильнее с каждым жуткий энергии.
ETC_20150323_009767	Hauberk Hover
ETC_20150323_009768	Некромантию Статус
ETC_20150323_009769	Вы были атакованы Norgailler в некромантию бисера!
ETC_20150323_009770	Послушание
ETC_20150323_009771	Этот монстр поработил!
ETC_20150323_009772	Недееспособным
ETC_20150323_009773	Недееспособным по вечерней звезды Руна.
ETC_20150323_009774	Владение
ETC_20150323_009775	Этот монстр держит часть кольчугу.
ETC_20150323_009776	Упала В Обморок Скорпион
ETC_20150323_009777	Скорпион упал в обморок!
ETC_20150323_009778	Пополнение Яд
ETC_20150323_009779	Пот всасывается монстра яд!
ETC_20150323_009780	Absorbed!
ETC_20150323_009781	Монстра Божественное пламя
ETC_20150323_009782	Магический круг ждет
ETC_20150323_009783	Отдыхает душа
ETC_20150323_009784	Благословение - увеличение СП реставрации
ETC_20150323_009785	Получать Благословения
ETC_20150323_009786	Марк жертву
ETC_20150323_009787	Жертва
ETC_20150323_009788	Марк очищения
ETC_20150323_009789	Расширение
ETC_20150323_009790	Просто атака.
ETC_20150323_009791	Демона вызвать кристалла власти
ETC_20150323_009792	Стать сильнее, получив полномочия демона вызвать Кристалл.
ETC_20150323_009793	Могучий Бафф
ETC_20150323_009794	Вызвать Летучая Мышь
ETC_20150323_009795	База
ETC_20150323_009796	Заложники Бомба
ETC_20150323_009797	Grynas Тропы
ETC_20150323_009798	Л. с. будет увеличена на 300 в течение 30 минут.
ETC_20150323_009799	СП будет увеличен на 300 в течение 30 минут.
ETC_20150323_009800	ГНАУ будет увеличен на 25 в течение 30 минут.
ETC_20150323_009801	Йогурт
ETC_20150323_009802	Скорость передвижения увеличивается на 1 за 30 минут.
ETC_20150323_009803	Использовать несколько навыков для подавления перебор.
ETC_20150323_009804	Используйте статусные очки, полученные путем выравнивания {ея} и модернизируйте способности вашего персонажа.
ETC_20150323_009805	Elementalist
ETC_20150323_009806	Винас Лагерь
ETC_20150323_009807	Rysk Города
ETC_20150323_009808	Yujima Нартекса
ETC_20150323_009809	Ramybe Скалы
ETC_20150323_009810	Голль Алтарь
ETC_20150323_009811	Sviesa Altar
ETC_20150323_009812	Ershike Алтарь
ETC_20150323_009813	Shileik След
ETC_20150323_009814	Bokshita Гору
ETC_20150323_009815	Joriko Плаза
ETC_20150323_009816	Tvora Дороги
ETC_20150323_009817	Zvyra Пустыре
ETC_20150323_009818	Площадь Поселения
ETC_20150323_009819	Лента Заметили
ETC_20150323_009820	Заброшенных Сельскохозяйственных Землях
ETC_20150323_009821	Adelno Эксперимента Зона
ETC_20150323_009822	Vynai Пивоварня
ETC_20150323_009823	Stishka Дороги Фермы
ETC_20150323_009824	Старая Хранения Еды
ETC_20150323_009825	Sekio След
ETC_20150323_009826	Рамус Перекрестке
ETC_20150323_009827	Запретная Зона
ETC_20150323_009828	Фермер-Арендатор Лодж
ETC_20150323_009829	Zalaum Farmland
ETC_20150323_009830	Ферма Водный Путь
ETC_20150323_009831	Tylila Путь
ETC_20150323_009832	Ishipare Сельхозугодий
ETC_20150323_009833	Ферма Актовый Зал
ETC_20150323_009834	Виноградная Ферма
ETC_20150323_009835	Ginan Дороги Фермы
ETC_20150323_009836	Riaum Hill
ETC_20150323_009837	Vinoga Пивоварня
ETC_20150323_009838	Darbas Вход
ETC_20150323_009839	Сушилку
ETC_20150323_009840	Хранение Урожая
ETC_20150323_009841	Залежные Земли
ETC_20150323_009842	Padeka Алтарь
ETC_20150323_009843	Ziuluti Пустырь
ETC_20150323_009844	Nuodo Побережье
ETC_20150323_009845	Совместные Сельскохозяйственные Угодья
ETC_20150323_009846	Ishigiti Травы Ферма
ETC_20150323_009847	Bandrass Forkroad
ETC_20150323_009848	Ферма Вход
ETC_20150323_009849	Заброшенные Виноградные Фермы
ETC_20150323_009850	Безлюдный Цех
ETC_20150323_009851	Коттедж сельскохозяйственных менеджер
ETC_20150323_009852	Kvie Фарм Зона
ETC_20150323_009853	Runkeil Farm Area
ETC_20150323_009854	Avarza Farm Grape
ETC_20150323_009855	Ziura Перекрестке
ETC_20150323_009856	Ферма Пост Охраны
ETC_20150323_009857	Zole Сельхозугодий
ETC_20150323_009858	Neshiva Дороги
ETC_20150323_009859	Ishkla Дороги Фермы
ETC_20150323_009860	Фарм Плаза"
ETC_20150323_009861	Gausa Рабочем Месте
ETC_20150323_009862	Zirta Пивоварня
ETC_20150323_009863	Гидродинамического Лестнице
ETC_20150323_009864	Pupule Огород
ETC_20150323_009865	Вызревание Номер
ETC_20150323_009866	Jabai Сельхозугодий
ETC_20150323_009867	Tvirta Водохранилища Набережная
ETC_20150323_009868	Shulioti Залежные Земли
ETC_20150323_009869	Флюгер Башни
ETC_20150323_009870	Другие Водохранилища Порт
ETC_20150323_009871	Грудой коробок 01
ETC_20150323_009872	Нагромождение ящиков 02
ETC_20150323_009873	Кусок дерева
ETC_20150323_009874	Этом Геле Плато Канатной Дороги
ETC_20150323_009875	Проехать По Каменному Хребту Канатной Дороги
ETC_20150323_009876	Портал Мастер
ETC_20150323_009877	Демон Господа Блуте
ETC_20150323_009878	Алхимия Горшок
ETC_20150323_009879	Большие Сломанные Вывески
ETC_20150323_009880	Спальный Скорпион
ETC_20150323_009881	Маленький Горшок
ETC_20150323_009882	Небольшая Статуя Богини
ETC_20150323_009883	Большой Собор Подножкой
ETC_20150323_009884	Большой Собор Устройства 1
ETC_20150323_009885	Большой Собор Устройства 2
ETC_20150323_009886	Повреждены Алтарь
ETC_20150323_009887	Pilgrim Статуя
ETC_20150323_009888	Предложили цветок
ETC_20150323_009889	Обработка Кристаллов Устройства
ETC_20150323_009890	Элементалисты Используют Атрибуты
ETC_20150323_009891	Охота на монстров-боссов с членами партии.
ETC_20150323_009892	DoTimeAction:Collecting Woods:3#SITGROPESET2:None
ETC_20150323_009893	Property:1/PropertyAdd:1/GiveItem:SIAULIAI50_WOOD_PIECE:1:0/NPCKill/EffectNPC:Local:F_pc_making_finish_white:2:BOT/Notice:NOTICE_Dm_Clear:приобрел дерево!:3
ETC_20150323_009894	DoTimeAction:просматривая зелени:2:SITGROPE:нет
ETC_20150323_009895	Property:1/PropertyAdd:1/GiveItem:FARM47_4_SQ_040_ITEM_1:1:0/NPCDead/EffectNPC:Local:F_pc_making_finish_white:2:BOT/Notice:NOTICE_Dm_Clear:нашли сухари!:5
ETC_20150323_009896	NPCDead/Сна:500/Заметьте:NOTICE_Dm_!:Ничего не видно!:5
ETC_20150323_009897	DoTimeAction:резка деревьев, которые будут использоваться для круглых woodРучкаs:4:CUTVINE_LOOP:нет
ETC_20150323_009898	Уведомление:NOTICE_Dm_!:Не надо ничего ставить!:5/NPCDead
ETC_20150323_009899	DoTimeAction:Извлечения Одуванчиков:2:Нет
ETC_20150323_009900	PCSelfDown:10/Примечание:NOTICE_Dm_!:Корни одуванчиков были сокращены!:5/NPCDead
ETC_20150323_009901	PCSelfDown:10/Примечание:NOTICE_Dm_!:Корни одуванчиков были сокращены!!:5/NPCDead/функ:SCR_FARM47_HERB_ROOT_EVENT
ETC_20150323_009902	DoTimeAction:Сушка после сдачи мяса монстра внутри:5:Нет
ETC_20150323_009903	AnimNPC:Local:OPEN:0/Notice:NOTICE_Dm_!:The meats are being dried! The beef jerkies are going to come out when the lid opens after 5 secs!\:3/Sleep:5/AnimNPC:Local:OPEN:0/EffectNPC:Local:F_smoke135_dark:2:BOT/Property:1/PropertyAdd:1/GiveItem:FARM47_1_SQ_060_ITEM_2:1:0/TakeItem:FARM47_1_SQ_060_ITEM_1:1:0
ETC_20150323_009904	DoTimeAction:извлечение:2:оформление:нет
ETC_20150323_009905	По слухам вокруг Fedimian, когда паломники прошли по пути паломников
ETC_20150323_009906	По словам выживших, выживших павших Город потерял свое имущество или свою жизнь на алтарь пути, идя к Fedimian.
ETC_20150323_009907	Носители откровений исследуют различные падшей части мира найти задания богини. Что, кажется, святилище было обнаружено в алтарной путь. Если вы можете найти что-то восстановить и использовать его снова, вы будете героем для тех, кто путешествует в этом районе. 
ETC_20150323_009908	По словам разведчика отчеты, там были заклинания устройств, найденных в лесу молитвы. Они пытались активировать его, но было слишком много монстров вокруг, так что им пришлось бежать за свою жизнь. Кто-то должен активировать заклинание устройство и проверить, какие полномочия он имеет.
ETC_20150323_009909	Пройти сквозь Тенета сад и двигаться к входу Kateen лес
ETC_20150323_009910	Место Солнца суть в Ramstis Ридж
ETC_20150323_009911	Найти ссылки, связанные с Naktis
ETC_20150323_009912	Получить Asellu Листовидные Сосочки
ETC_20150323_009913	Получить розжиг Kowak
ETC_20150323_009914	Добавить растопка горящего дерева корень Кристалл
ETC_20150323_009915	Бесплатные паломника душу от монстра и атаковать дерево корень Кристалл
ETC_20150323_009916	Тест реагента на монстров в Altary путь
ETC_20150323_009917	Заманить монстров в святая святых и победить их
ETC_20150323_009918	Уничтожить демонов круга
ETC_20150323_009919	Найти бейджи в святилище и сжечь их
ETC_20150323_009920	Получить Рид Сап кристаллы от паразитарных дерево Ambulos, что жить Тростниковых корней
ETC_20150323_009921	Собирать SAP с первой банкой
ETC_20150323_009922	Собирать сок с второй банкой
ETC_20150323_009923	Собирать сок с третьей банкой
ETC_20150323_009924	Получить противоядие от людей на хребте каменный (akmens)
ETC_20150323_009925	Снять пломбу из Viesa алтарь
ETC_20150323_009926	Найти документы о методе трансформации демона в святилище
ETC_20150323_009927	Защититься от демонов, а демона свиток трансформации завершается
ETC_20150323_009928	Получить 4-й ключ для maven из Голль алтарь
ETC_20150323_009929	Удалить демонические объекты
ETC_20150323_009930	Неизвестное устройство 
ETC_20150323_009931	Выиграть против священника доказательств
ETC_20150323_009932	Найти Библейские Реликвии
ETC_20150323_009933	Слушают рассказ Демон Господа кольчугу
ETC_20150323_009934	Уяснить ситуацию
ETC_20150323_009935	Закрыть размерные трещина
ETC_20150323_009936	Релиз печатью Rearda
ETC_20150323_009937	Релиз уплотнение в kasa
ETC_20150323_009938	Релиз печатью Раде
ETC_20150323_009939	Найти кольчугу среди монстров
ETC_20150323_009940	Seal Hauberk
ETC_20150323_009941	Найти Богиню Vakarine
ETC_20150323_009942	Подчинить демона монстров
ETC_20150323_009943	Демоническое правило
ETC_20150323_009944	Собирать клеймо Звезда
ETC_20150323_009945	Проверка статуса земли
ETC_20150323_009946	Собрать ингредиенты для лекарства
ETC_20150323_009947	Существование сингулярности
ETC_20150323_009948	Изучить ровной стопкой почвы
ETC_20150323_009949	Unopenable коробка
ETC_20150323_009950	Долгосрочные контрмеры
ETC_20150323_009951	Выбор Молодых Одуванчиков
ETC_20150323_009952	Устранить конкурента
ETC_20150323_009953	Дневник одной девочки
ETC_20150323_009954	Нужно яйцо
ETC_20150323_009955	Ферма under Disaster
ETC_20150323_009956	Вылечить винограда наркомании
ETC_20150323_009957	Дать противоядия отравленной фермеров
ETC_20150323_009958	Справочник фермеров друид
ETC_20150323_009959	Остановить зверя со зверем кровь
ETC_20150323_009960	Взять с собой зеленую крылатую лягушку через телепатию
ETC_20150323_009961	Open the Magic Box(1)
ETC_20150323_009962	Различия между культурами и сорняками
ETC_20150323_009963	Изменения, которые не могут быть отменены
ETC_20150323_009964	That's different from what I heard(1)
ETC_20150323_009965	Победить монстра вызван горд Shatton
ETC_20150323_009966	Это также очищение
ETC_20150323_009967	Блок подземного тоннеля
ETC_20150323_009968	Виновником подземный Лабиринт
ETC_20150323_009969	Эскорт фермы Апхэм солдата до генерала Buros
ETC_20150323_009970	Перейти к Kvailas лес через калитку маршрут и Sirdgela лес
ETC_20150323_009971	Двигаться в этом геле плато
ETC_20150323_009972	Gytis Settlement Area Phenomenon(1)
ETC_20150323_009973	Gytis Settlement Area Phenomenon(2)
ETC_20150323_009974	Antidote(1)
ETC_20150323_009975	Получить Ridimed Листьев
ETC_20150323_009976	Вылечить отравленных людей
ETC_20150323_009977	Louise's Farmland(1)
ETC_20150323_009978	Louise's Farmland(2)
ETC_20150323_009979	Получить пиломатериалы
ETC_20150323_009980	Копаться в траву и мусор для скрытой пищевой
ETC_20150323_009981	Оглушить Скорпион и извлечь ее яд
ETC_20150323_009982	Получить Сладкую Траву
ETC_20150323_009983	Постарайтесь не испортить рисовый пирог
ETC_20150323_009984	Eliminate the stДиапазон [От Стоимости]nergy
ETC_20150323_009985	Осмотрели территорию Арунас упомянул
ETC_20150323_009986	Посмотрите по близлежащим культур
ETC_20150323_009987	Создайте магический круг, используя пиломатериалов, что Арунас дал тебе
ETC_20150323_009988	Сжечь барона заклинание куклы в магический круг
ETC_20150323_009989	Remove the Защита Stone with StДиапазон [От Стоимости]ura
ETC_20150323_009990	Положите желтый Ellom злая энергия в первую пустую бутылку
ETC_20150323_009991	Поставить Keposeed злой энергии во вторую пустую бутылку
ETC_20150323_009992	Закопать бутылку с темной энергией на правой стороне магического круга
ETC_20150323_009993	Закопать бутылку с темной энергией на левой стороне магического круга
ETC_20150323_009994	Заманить монстров, живущих в магический круг
ETC_20150323_009995	Избежать атаки монстра и уничтожить алкоголь контейнерах в течение срока,
ETC_20150323_009996	Получить деревянным молотком голову
ETC_20150323_009997	Получите деревянной ручки молотка
ETC_20150323_009998	Алкоголь контейнер
ETC_20150323_009999	Тест неполный магический круг на монстров
ETC_20150323_010000	Dandell бросить в горящий магический круг
ETC_20150323_010001	Поставить статую богини на магический круг
ETC_20150323_010002	Получить круглые деревянные палочки из близлежащих заборов
ETC_20150323_010003	Заполнить яд горшки
ETC_20150323_010004	Получить земледелия инструмент - плуг
ETC_20150323_010005	Получить земледелия инструмент - Ручная Мотыга
ETC_20150323_010006	Получить земледелия инструмент - лопата
ETC_20150323_010007	Получить земледелия инструмент - кирку
ETC_20150323_010008	Получить земледелия инструмент - вилы
ETC_20150323_010009	Экстракт одуванчики
ETC_20150323_010010	Бросают камни, чтобы уничтожить магический круг
ETC_20150323_010011	Собрать фермеров подписей на компакт
ETC_20150323_010012	Хранения Использовать Плату
ETC_20150323_010013	В то время как попадая на спутник, ваш узел высота была слишком высока, чтобы установить связь 
ETC_20150323_010014	Рецепт - Противоядие
ETC_20150323_010015	Элементалисты Продвижения
ETC_20150323_010016	Card Synthesis
ETC_20150323_010017	Введите ваши персональные поздравительные
ETC_20150323_010018	Визит Барака
ETC_20150323_010019	Начать Игру
ETC_20150323_010020	Пользователь купить-в магазин
ETC_20150323_010021	Бафф Магазин
ETC_20150323_010022	Крафтер все еще использует этот навык.
ETC_20150323_010023	Элемент утонченности завершен.
ETC_20150323_010024	Consume
ETC_20150323_010025	Нанять в качестве наемника
ETC_20150323_010026	{Цена} iCoins будет потребляться, чтобы нанять для {минуты} минут. Вы хотите продолжить??
ETC_20150323_010027	Огонь наемник
ETC_20150323_010028	Hiring fee will not be refunded. Are you sure you want to dismiss? 
ETC_20150323_010029	Неправильное оборудование. Пожалуйста, проверьте название. 
ETC_20150323_010030	{gr gradation2}{s19}{ol}{b}{#ffcc00}Right-click: Sell / Buy Button{/}{/}{nl}Press down the right-click for long to sell multiple quantities of the item.{nl}Double-click to sell all.{nl}??{nl}{b}{#ffcc00}Left-click: Cancel / Return Button{/}{/}{nl}Press down the left-click for long to cancel multiple quantities of the item.{nl} Double left-click to sell all.
ETC_20150323_010031	Потреблять материал должен обладать такими же или более звезд, что пункт объединить.
ETC_20150323_010032	Этот пункт не может быть пробужден. 
ETC_20150323_010033	Этот пункт уже пробужден.
ETC_20150323_010034	Пункт Пробуждение!
ETC_20150323_010035	Potential is consumed when you awaken an item. Do you wish to continue? 
ETC_20150323_010036	Длительность Эффекта
ETC_20150323_010037	Распределение таблицы может использоваться только рядом с базой.
ETC_20150323_010038	Оно может быть только построено на одной базе.
ETC_20150323_010039	Оружие Поддержание Эффекта
ETC_20150323_010040	Броня Поддержания Эффекта
ETC_20150323_010041	Наковальня Повышение
ETC_20150323_010042	Добавить физическую атаку товарища по {значение}
ETC_20150323_010043	на %D игроков
ETC_20150323_010044	получила свой Бафф.
ETC_20150323_010045	был пункт, отремонтировали.
ETC_20150323_010046	Сбор Молодых Листьев
ETC_20150323_010047	Собрали молодых листьев, но жесткая листьев прирежу!
ETC_20150323_010048	Жесткие листья порезал руку!
ETC_20150323_010049	Вы отброшены музыкальную шкатулку туда, где он был
ETC_20150323_010050	Старая музыкальная шкатулка найдено из кучи травы!
ETC_20150323_010051	Собранные Asellu Листьев Бутон
ETC_20150323_010052	Пройдя через груду еды
ETC_20150323_010053	Получить больше пищевых отходов из кучи еды в Ishplash Плаза
ETC_20150323_010054	Нет монстра
ETC_20150323_010055	Уничтожая корень дерева кристаллическое ядро
ETC_20150323_010056	Причину Кристалл взорвался.
ETC_20150323_010057	Уничтожили корень дерева кристаллическое ядро и восстановилась выносливость!
ETC_20150323_010058	Там была ненормальной реакции от ядра кристалла и старый крюк появился!
ETC_20150323_010059	Успешно уничтожено Мутировавшим деревом корень Кристалл!
ETC_20150323_010060	Задел то дерево корень кристалла и скорость передвижения снизилась!
ETC_20150323_010061	Не ври! Я закончу тебя тоже!
ETC_20150323_010062	You think I'll forgive you? 
ETC_20150323_010063	Я уничтожу тебя тоже!
ETC_20150323_010064	You think I'll fall for that? Come on and fight!
ETC_20150323_010065	Взяв цветок
ETC_20150323_010066	Выбрал красивый цветок.
ETC_20150323_010067	Вы пытались успокоить душу в ловушке{ея}но, его переполняла ярость и превратился в монстра!
ETC_20150323_010068	Все равно... я не прощу тебя!
ETC_20150323_010069	Как ты мог... поступить со мной!
ETC_20150323_010070	Мы были вашими коллегами, и ты предал нас!
ETC_20150323_010071	Вы можете бежать быстрее в течение 30 секунд, потому что в святилище благословение!
ETC_20150323_010072	Пожертвовать 100 серебра
ETC_20150323_010073	Пожертвовать 500 серебра
ETC_20150323_010074	Пожертвовать 1000 серебра
ETC_20150323_010075	Вы можете бежать быстрее в течение 60 секунд, потому что в святилище благословение!
ETC_20150323_010076	Вы можете бежать быстрее в течение 120 секунд из-за Санктум благословение!
ETC_20150323_010077	Пожертвовал 100 серебра
ETC_20150323_010078	Пожертвовал 500 серебра
ETC_20150323_010079	Пожертвовал 1000 серебра
ETC_20150323_010080	Пожертвовал 40 серебра
ETC_20150323_010081	Пожертвовал 50 серебра
ETC_20150323_010082	Ваша атака увеличивается из-святилище благословение!
ETC_20150323_010083	Обнаружил, что монстр проглотил жетон!{бл}Нажмите клавишу V, чтобы использовать символ веры!
ETC_20150323_010084	Монстр загрязняющих Санктум
ETC_20150323_010085	Монстра, который проглотил значок появился!
ETC_20150323_010086	Ваша атака увеличивается на 10 секунд из-за Санктум благословение!
ETC_20150323_010087	Полученные Божественная Аура на 10 секунд, потому что в святилище благословение!
ETC_20150323_010088	Ядом брызгала!
ETC_20150323_010089	Вы не предлагаете ни получать благословения!
ETC_20150323_010090	Восстановление здоровья из-за Санктум благословение!
ETC_20150323_010091	Дерево Ambulo живет за счет камышовый корень появился!
ETC_20150323_010092	Полученные трость Сап Кристалл!
ETC_20150323_010093	Приобрел 5 пищевые отходы.
ETC_20150323_010094	Монстры едят пищевые отходы.
ETC_20150323_010095	Он не реагирует на пищевые отходы.
ETC_20150323_010096	Ты наступил на Cactusvel ямы и попал под это проклятие!
ETC_20150323_010097	Ты наступил на загрязнителей и упала в обморок!
ETC_20150323_010098	Пожалуйста, помогите мне..
ETC_20150323_010099	Это не реагируя. Попробовать его на другого монстра.
ETC_20150323_010100	Там был монстр скрывается в ее корень!
ETC_20150323_010101	Вы скреблись в Рид с ядом и выросла онемели!
ETC_20150323_010102	Вы были ранены в Рид, и замедляются!
ETC_20150323_010103	Усыпляющий газ вдруг поднялось!
ETC_20150323_010104	Вы не смогли ничего найти!
ETC_20150323_010105	Нашел знак в святилище!
ETC_20150323_010106	Не могу найти знак Санктум!
ETC_20150323_010107	Witas проклятие заставляет тебя заснуть!
ETC_20150323_010108	Душа обратно к богине.
ETC_20150323_010109	Выпущено душа сдерживается монстр!
ETC_20150323_010110	У вас уже есть достаточно пищевых отходов.
ETC_20150323_010111	Уговаривать устал Drapeliun!
ETC_20150323_010112	Вы прошли через кучу еды и она взорвалась!
ETC_20150323_010113	Приобрел растопку! {бл}ставим все это на огонь для дерева корень Кристалл, чтобы сжечь ее!
ETC_20150323_010114	Добавление Растопку
ETC_20150323_010115	Пламя полыхает вверх!
ETC_20150323_010116	Успешно сжег дерево корень Кристалл.
ETC_20150323_010117	в ловушке злой ауры в коробке.
ETC_20150323_010118	Злая аура поглощения в коробке.
ETC_20150323_010119	Она автоматически взорвется, когда вы получаете его сердечника от монстров рядом!
ETC_20150323_010120	Корень Дерева Кристалл Реагирует
ETC_20150323_010121	Душа Пилигрима в ловушку монстра выпустили!{бл}уничтожить захваченный душа Пилигрима освободить его!
ETC_20150323_010122	В ловушке Пилигрим душу
ETC_20150323_010123	Заманить монстра и потреблять ее л. с. перед извлечением своей души
ETC_20150323_010124	Успешно уничтожил демона магический круг
ETC_20150323_010125	Цветок засох и умер!
ETC_20150323_010126	Подобрав небольшой портрет снова
ETC_20150323_010127	Взял маленький портрет снова
ETC_20150323_010128	Отбрасывая малый портрет
ETC_20150323_010129	Отброшены небольшой портрет на могильной плите
ETC_20150323_010130	Достал носовой платок из коробки.
ETC_20150323_010131	Положил платок обратно в коробку. Вы можете взять его снова. 
ETC_20150323_010132	Нет ключа {ея}найти ключ от монстров. 
ETC_20150323_010133	Душа Пилигрима атакует кристалл!
ETC_20150323_010134	Монстра л. с. слишком высокая!
ETC_20150323_010135	Алтарь имеет достаточно охладились!
ETC_20150323_010136	Уничтожить магический круг
ETC_20150323_010137	Нельзя использовать в Fedimian Подмосковье!
ETC_20150323_010138	Времени, чтобы использовать его
ETC_20150323_010139	Получить узорчатые камни получить вход. 
ETC_20150323_010140	Подход в обморок Скорпион и извлечь ее яд!
ETC_20150323_010141	Извлечение яда
ETC_20150323_010142	Извлеченный яд!
