QUEST_LV_0100_20150317_000001	Страж
QUEST_LV_0100_20150714_007543	МОУ Собирать Шишки
QUEST_LV_0100_20150714_007544	Наблюдатель Эрра пытается помешать Pantos от блуждая в этом геле плато, используя аромат Моа, хищников Pantos. МОУ собирать шишки возле Пине поля.
QUEST_LV_0100_20150714_007545	Передать их наблюдателем Эрра
QUEST_LV_0100_20150714_007546	Вы получили достаточно МОУ комков. Передать их наблюдателем Эрра.
QUEST_LV_0100_20150714_007547	Получить % - ы, победив Моа, хищников Pantos
QUEST_LV_0100_20150714_007548	Территориальные Уступки
QUEST_LV_0100_20150714_007549	Наблюдатель Молли, кто ухаживает за Pantos, ищет тебя. Поговорите с Watcher Молли.
QUEST_LV_0100_20150714_007550	Собрать Нечетное Рыбы Стрингеров
QUEST_LV_0100_20150714_007551	Наблюдатель Молли хочет сделать Стрингеры, которые могли бы напугать Pantos. Получить рыбака глаза и Ellom суть в Kateen леса вход.
QUEST_LV_0100_20150714_007552	Вся территория Kateen лес
QUEST_LV_0100_20150714_007553	Передать их наблюдателем Молли
QUEST_LV_0100_20150714_007554	Вы получили все материалы, необходимые для выполнения Косоуров. Передать их наблюдателем Молли.
QUEST_LV_0100_20150714_007555	Вы получили все материалы, необходимые для выполнения Косоуров. Задать наблюдателя Молли о том, что делать дальше.
QUEST_LV_0100_20150714_007556	Комплект Стрингеров
QUEST_LV_0100_20150714_007557	Для предотвращения Pantos от отступления в другие регионы, пожалуйста, установить Стрингеры на Srautas Nefritas ущелья и скалы.
QUEST_LV_0100_20150714_007558	Srautas Каньон/Nefritas Скалы
QUEST_LV_0100_20150714_007559	Вы установили все Стрингеры. Отчет наблюдателя Молли.
QUEST_LV_0100_20150714_007560	Disappearances
QUEST_LV_0100_20150714_007561	Рыцарь-Командор Uska ищет тебя. Поговорите с рыцарем-командором Uska.
QUEST_LV_0100_20150714_007562	Поиск места, где эти исчезновения произошли
QUEST_LV_0100_20150714_007563	Рыцарь-Командор Uska просил вас расследовать исчезновение принца Tilenis и мэр. Искать следы с помощью Духа глаз на Sidabras остальное место на Вежи овраг.
QUEST_LV_0100_20150714_007564	Защитить дух Клайпеды мэра
QUEST_LV_0100_20150714_007565	Неизвестные существа атакуют духе мэра. Защитить духе мэра.
QUEST_LV_0100_20150714_007566	Поговорите с духом мэра Клайпеды
QUEST_LV_0100_20150714_007567	Вы сохранили дух Клайпеды мэра. Попросите дух мэра, что произошло.
QUEST_LV_0100_20150714_007568	Вам интересно, что произошло. Поговорите с духом Клайпеды мэра.
QUEST_LV_0100_20150714_007569	Дух Клайпеды мэр сказал, что вы все погибли от атак от существ, которые служат деревья и они похитили принца Tilenis. Об этом Рыцарь-Командор Uska.
QUEST_LV_0100_20150714_007570	В Бокоро Мастер ищет человека, который может помочь в мемориальной церемонии. Поговорите с Бокоро Мастер.
QUEST_LV_0100_20150714_007571	Наполните шар комфорта с Тини суть
QUEST_LV_0100_20150714_007572	Бокор хозяин хочет, чтобы комфорт жителей села вперед, кто умер незаслуженно. Во-первых, поражение Тини в лес кобальта затем наполните шар комфорта с Тини суть.
QUEST_LV_0100_20150714_007573	Кобальт Лес, Septyni Глен
QUEST_LV_0100_20150714_007574	Вся территория кобальта лес
QUEST_LV_0100_20150714_007575	Поглощать обиды в шар комфорта
QUEST_LV_0100_20150714_007576	Недовольство сельчан из села вперед плывет вокруг как нечистая аура. Собрать ауру и наполнить его в шар комфорта.
QUEST_LV_0100_20150714_007577	Недовольство сельчан из села вперед плывет вокруг как нечистая аура. Наполните шар комфорта с аурой.
QUEST_LV_0100_20150714_007578	Вы заполнили обида сельчан в деревне вперед в шар. Передайте его Бокоро Мастер.
QUEST_LV_0100_20150714_007579	Богини Сауле запросу
QUEST_LV_0100_20150714_007580	Сауле богиня нуждается в вашей помощи. Поговори с ней.
QUEST_LV_0100_20150714_007581	Снимите колючих лиан, затрудняющего к воротам маршрут
QUEST_LV_0100_20150714_007582	Богини Сауле беспокоится, что Брамбл, колючих лиан может распространиться Septyni Глен. Снимите колючих лиан, затрудняющего до ворот маршруту.
QUEST_LV_0100_20150714_007583	Ты вырубить угрожающие колючих лиан. Доложите богине Сауле.
QUEST_LV_0100_20150714_007584	Убрать колючие лозы
QUEST_LV_0100_20150714_007585	Богини Сауле хочет очистить остальные колючие леса. Поговорите богини Сауле.
QUEST_LV_0100_20150714_007586	Набор Хрустальный органа в Sirdgela лес
QUEST_LV_0100_20150714_007587	Богини Сауле хочет очистить лес шип с кристаллом, который содержит ее авторитет. Положите кристалл органа в Sirdgela лес.
QUEST_LV_0100_20150714_007588	Вы установили, что кристалл обладает властью богини Сауле. Возвращение богини Сауле.
QUEST_LV_0100_20150714_007589	В Cryomancer Мастер хочет вашей помощи. Поговорите с мастер-Cryomancer.
QUEST_LV_0100_20150714_007590	Собрать Кристалл из чистого Мороза
QUEST_LV_0100_20150714_007591	Используйте Мороза Кристалл на монстров Poslinkis лес, победить этих монстров, чтобы получить их замерзшие души осколки. Наконец, положите их в волшебную силу конденсатор, и вы будете получать чистый иней Хрустальный.
QUEST_LV_0100_20150714_007592	Доставить в Cryomancer Мастер
QUEST_LV_0100_20150714_007593	Кристально чистый Мороз приобрел. Сходить на мастер-Cryomancer.
QUEST_LV_0100_20150714_007594	Hidden Treasures
QUEST_LV_0100_20150714_007595	Coben является чем-то страдает. Поговорить с ним.
QUEST_LV_0100_20150714_007596	Зарядка Zubeck шара
QUEST_LV_0100_20150714_007597	Получить Zubeck секретную нычку для Coben. Место Zubeck шара рядом с монстрами, и зарядить хрустальный шар.
QUEST_LV_0100_20150714_007598	Zubeck шара заряжается. Поговорите Coben о том, что делать дальше.
QUEST_LV_0100_20150714_007599	Zubeck шара была заряжена. Поговорите Coben о том, что делать дальше.
QUEST_LV_0100_20150714_007600	Искать заначку, что спрятал Zubeck.
QUEST_LV_0100_20150714_007601	Использовать Zubeck шара и найти его тайник.
QUEST_LV_0100_20150714_007602	Кажется, у меня возник срочный вопрос с Маг Мастер. Поговорите с мастер-Колдун.
QUEST_LV_0100_20150714_007603	Уничтожить демона призвать на поле
QUEST_LV_0100_20150714_007604	Колдун мастер сказал вам, что он собирается вызвать демонов, но он соединил их в мир иной. Уничтожить демона призвать на поле в Акведук мост Площадь.
QUEST_LV_0100_20150714_007605	Вы уничтожили демона призвать на поле. Доклад его Маг Мастер.
QUEST_LV_0100_20150714_007606	Sealed Tower of the Goddess
QUEST_LV_0100_20150714_007607	Поговорите с священником Ramelie
QUEST_LV_0100_20150714_007608	Священник Ramelie срочно ищет тебя. Поговорите с священником Ramelie о чем проблема.
QUEST_LV_0100_20150714_007609	Защиты запечатанной башни
QUEST_LV_0100_20150714_007610	Демоны собираются после запечатанной башни богини. Защиты запечатанной башни от демонов.
QUEST_LV_0100_20150714_007611	Вы защитили запечатанной башни. Скажи священник Ramelie об этом.
QUEST_LV_0100_20150714_007612	Поговорите с священником Ramelie
QUEST_LV_0100_20150714_007613	Вы защитили запечатанной башни. Поговорите с священником Ramelie.
QUEST_LV_0100_20150714_007614	Зарядка Богиня Austeja из Священного Писания 
QUEST_LV_0100_20150714_007615	Пожалуйста, помогите нам восстановить первую печать. Во-первых, заполнить Богиня Austeja в Писании святой энергией около алтаря.
QUEST_LV_0100_20150714_007616	Предлагаем Богиня Austeja из Священного Писания, в запечатанной башни
QUEST_LV_0100_20150714_007617	Вы заполнили Богиня Austeja в Писании святой энергией. Предлагаем его к запечатанной башне.
QUEST_LV_0100_20150714_007618	Вы заполнили Богиня Austeja в Писании святой энергией. Предлагаем его к запечатанной башне.
QUEST_LV_0100_20150714_007619	Вы заполнили Богиня Austeja в Писании святой энергией. Предлагаем его к запечатанной башне.
QUEST_LV_0100_20150714_007620	Ты восстановил печать. Скажите Ramelia об этом.
QUEST_LV_0100_20150717_007621	Также, вы можете заглянуть на средства купца за варп свитки я ушел с ней.
QUEST_LV_0100_20150717_007622	Talk to Knight Titas (1)
QUEST_LV_0100_20150717_007623	Talk to Knight Titas (2)
QUEST_LV_0100_20150717_007624	Собирать %s из запасных Очиститель
QUEST_LV_0100_20150717_007625	Поражение Красной Vubbe бойцом, который внезапно появился
QUEST_LV_0100_20150717_007626	Красный Vubbe Боец появился, когда ты открыл коробку! Победить его.
QUEST_LV_0100_20150717_007627	Поклонение богине и поговорить на средства купца
QUEST_LV_0100_20150717_007628	Поговорите товар купец
QUEST_LV_0100_20150717_007629	Рыцарь Титас сказал он левый Варп свитки для носителей откровений с товаром купец. Поговорите с пункта купец получать Варп свитки. 
QUEST_LV_0100_20150717_007630	Товар купец похоже, ей есть что сказать. Поговори с ней. 
QUEST_LV_0100_20150717_007631	Помогите Алан солдата, охранявшего ферму вход
QUEST_LV_0100_20150717_007632	Похоже, все стало сложнее.{nl}кто знал Kepas может вырасти настолько большой...
QUEST_LV_0100_20150717_007633	Мы должны оставаться сильными.{nl}даже Арас, держась.
QUEST_LV_0100_20150717_007634	Вернуться. {nl}Вы не имеете чего оно принимает. 
QUEST_LV_0100_20150729_007635	Будьте осторожны в следующий раз.
QUEST_LV_0100_20150729_007636	Вы должны найти скрытые санктум перед демонами делать.{nl}но вы должны быть осторожны. Враг перед нами может только быть побежден с Божественной сферой.
QUEST_LV_0100_20150729_007637	Gesti... не следует недооценивать.{nl}мы должны найти скрытые санктум быстро, но давайте быть осторожными.
QUEST_LV_0100_20150729_007638	Посмотрите на этот лопнул канатной дороги.{nl}оно еще работает, но повреждения довольно серьезные.{nl}
QUEST_LV_0100_20150729_007639	Capria было первое изменение после случившегося четыре года назад. {nl} и тогда Pantos.. теперь только детские монстры слева.
QUEST_LV_0100_20150729_007640	Мы не можем идти из-за барьера.{nl}я защищу Божественной сфере, так идите в подвал, чтобы поднять шлагбаум.
QUEST_LV_0100_20150729_007641	Честном бою лицом к лицу-это лучше, чем прятаться.{nl}и это гораздо лучше, если наши противники демоны.
QUEST_LV_0100_20150729_007642	Так люди тоже могут победить короля демонов.{nl}я не могу поверить в это.
QUEST_LV_0100_20150729_007643	Пожалуйста, спаси меня!{nl}я не знаю как выбраться из барьера!
QUEST_LV_0100_20150729_007644	Спешить и бежать!{nl}монстров может быть в закрытии!
QUEST_LV_0100_20150729_007645	Все верно.{nl} о, не забудьте воздать поклонение статуе Ausrine, прежде чем уехать.{nl}
QUEST_LV_0100_20150729_007646	Спасибо, что вернули их обратно, хотя это еще не достаточно... {nl} извини... {nl}
QUEST_LV_0100_20150729_007647	Почти все сувениры были собраны.{nl}я рассчитываю на вас, чтобы вернуть те что были.
QUEST_LV_0100_20150729_007648	Спасибо большое. {nl} мои товарищи теперь могут спокойно отдохнуть с Богинями.
QUEST_LV_0100_20150729_007649	The Immortal Nepenthes (1)
QUEST_LV_0100_20150729_007650	The Immortal Nepenthes (2)
QUEST_LV_0100_20150729_007651	The Watcher's Potential (1)
QUEST_LV_0100_20150729_007652	The Watcher's Potential (2)
QUEST_LV_0100_20150729_007653	Размещение Духа глаз
QUEST_LV_0100_20150729_007654	Проверяя глаза духов/оформление/2/TRACK_BEFORE/нет/F_spread_in023_green/1/средний
QUEST_LV_0100_20150729_007655	Ритуал Разрушителей
QUEST_LV_0100_20150729_007656	Я помогу
QUEST_LV_0100_20150729_007657	Скажи ему, что трупы нельзя обращаться небрежно
QUEST_LV_0100_20150729_007658	Preventive Measures
QUEST_LV_0100_20150729_007659	Я уничтожу гробы
QUEST_LV_0100_20150729_007660	Скажи ему делать все что он хочет сделать
QUEST_LV_0100_20150729_007661	Придирчивый Могила Гвардии
QUEST_LV_0100_20150729_007662	Я буду искать его
QUEST_LV_0100_20150729_007663	Попросите его сказать вам напрямую
QUEST_LV_0100_20150729_007664	Пусть мертв покойся с миром
QUEST_LV_0100_20150729_007665	Я буду молиться за упокой их души
QUEST_LV_0100_20150729_007666	Скажи ему, исполнять его обязанности как хранитель погоста
QUEST_LV_0100_20150729_007667	Подозрительные Санктум (1)
QUEST_LV_0100_20150729_007668	Скажите ему, что вы будете ходить туда
QUEST_LV_0100_20150729_007669	Скажи ему, что он должен справиться сам
QUEST_LV_0100_20150729_007670	Подозрительные Санктум (2)
QUEST_LV_0100_20150729_007671	Я буду смотреть вокруг
QUEST_LV_0100_20150729_007672	Скажи ему, чтобы он сам
QUEST_LV_0100_20150729_007673	Неверной Веры
QUEST_LV_0100_20150729_007674	Я пойду туда первым
QUEST_LV_0100_20150729_007675	Скажи ему, что тебя проверю его в покое
QUEST_LV_0100_20150729_007676	Скажи ему, чтобы он сам
QUEST_LV_0100_20150729_007677	Open the box.
QUEST_LV_0100_20150729_007678	Похоже, что вы извлекли все запасы, что Вендиго взял. Сходить Линдт и передать их.
QUEST_LV_0100_20150729_007679	Собирать %ы, победив Вендиго
QUEST_LV_0100_20150729_007680	Приобрести товары от Вендиго
QUEST_LV_0100_20150729_007681	Эрп сказал, что он не вернется в лагерь до тех пор, пока он побеждает Saugas. Вы лучше помогите ему, чтобы он мог вернуться раньше. Получить монстра ядом и духовного камня в Alkune лестница для пвп.
QUEST_LV_0100_20150729_007682	Вы получили духовный камень и монстр яд. Возврат к ETA.
QUEST_LV_0100_20150729_007683	Попросите Бокоро Мастер о таинственном шифер. Она живет в спальном районе в Клайпеде левого конца.
QUEST_LV_0100_20150729_007684	Поклонение статуе богини Ausrine
QUEST_LV_0100_20150729_007685	Поклонение статуе богини Ausrine на центральной площади Клайпеды, как подготовка уезжать в восточные леса.
QUEST_LV_0100_20150729_007686	Победить Vubbes и получать % - ы
QUEST_LV_0100_20150729_007687	Вся территория Kateen лес вход
QUEST_LV_0100_20150729_007688	Рыцарь-Командор Uska просил вас расследовать исчезновение принца Tilenis и мэр. Искать следы с помощью Духа глаз в Sidabras остальное место Вежа в овраг.
QUEST_LV_0100_20150729_007689	Вы разместили дух глаз на том месте, где вы думаете, что эти исчезновения произошли. Проверьте Духа глаз.
QUEST_LV_0100_20150729_007690	Победить существ, пытающихся напасть на дух Клайпеды мэра
QUEST_LV_0100_20150729_007691	В Бокоро хозяин хочет, чтобы комфорт жителей села вперед, кто умер незаслуженно. Во-первых, поражение от Тини кобальта лес и набить эссенций Тини в бисер комфорта.
QUEST_LV_0100_20150729_007692	Поговорите с священником Юта
QUEST_LV_0100_20150729_007693	Священник Юта, кажется, в беде. Поговорите с Юта.
QUEST_LV_0100_20150729_007694	Победить воскресших трупов
QUEST_LV_0100_20150729_007695	Священник Юта попросил вас победить трупов, которые нарушая ритуала. Поражение трупы.
QUEST_LV_0100_20150729_007696	Доклад священника Юта. 
QUEST_LV_0100_20150729_007697	Вы победили трупов, что Юта просила. Возвращение Юта.
QUEST_LV_0100_20150729_007698	Воскресший Труп
QUEST_LV_0100_20150729_007699	Вы победили трупы как священник Юта просила. Поговорите с Юта, если есть больше вещей, чтобы помочь.
QUEST_LV_0100_20150729_007700	Уничтожить парящий гроб
QUEST_LV_0100_20150729_007701	Согласно тому, что сказал священник Юта, трупы проснулся от гробов, которые взлетели с земли.{nl}уничтожить трупы, которые взлетели с земли.
QUEST_LV_0100_20150729_007702	Возвращайтесь к жрецу Юта
QUEST_LV_0100_20150729_007703	Ты разрушил все гробы, что священник Юта просьба к вам.{nl}Возвращение Юта.
QUEST_LV_0100_20150729_007704	Юта священник сказал вам, что он никогда не ходил недалеко от святилища из-за барьера вокруг святилища.{nl}ты просила хранитель погоста Sigis, чтобы найти способ разрушить барьер.
QUEST_LV_0100_20150729_007705	Поговорите с Хранитель погоста Sigis
QUEST_LV_0100_20150729_007706	Вы нашли могилу Хранитель Sigis. Поговорите Sigis.
QUEST_LV_0100_20150729_007707	Похоже, что Sigis имеет некоторые вещества, которые он не может рассказать. Поговорите Sigis.
QUEST_LV_0100_20150729_007708	Кремировать трупы воскресли
QUEST_LV_0100_20150729_007709	Хранитель погоста Sigis дал вам свой факел и просил вас, чтобы очистить мертвые с факелом.
QUEST_LV_0100_20150729_007710	Возвращение к могиле Хранителя Sigis.
QUEST_LV_0100_20150729_007711	Ты сжигал воскресшие трупы. Вернуться к Sigis.
QUEST_LV_0100_20150729_007712	Suspicious Sanctum
QUEST_LV_0100_20150729_007713	Как Хранитель погоста Sigis просьба к вам, вы меня кремировали воскресших. {nl}задать Sigis если есть любая вещь, что вы могли бы помочь больше.
QUEST_LV_0100_20150729_007714	Вытащить предмет из коробки из могилы хранитель
QUEST_LV_0100_20150729_007715	Хранитель погоста Sigis просил тебя вытащить какой-то предмет из ящика в могиле хранителя.
QUEST_LV_0100_20150729_007716	Сдать приворот кукла из могилы хранителя Sigis
QUEST_LV_0100_20150729_007717	Объект внутри коробки-заклинание куклы из могилы хранителя. Передайте его Хранитель погоста Sigis.
QUEST_LV_0100_20150729_007718	Вы принесли заклинание куклы из могилы хранителя, который Sigis просьба к вам. Задать Sigis о том, как использовать заклинание кукла хранитель погоста.
QUEST_LV_0100_20150729_007719	Посмотрите вокруг святилища секты
QUEST_LV_0100_20150729_007720	Посмотрите вокруг святилища секты с заклинанием кукла
QUEST_LV_0100_20150729_007721	Доклад Хранитель погоста Sigis
QUEST_LV_0100_20150729_007722	Заклинание куклы были уничтожены по мере приближения к святая святых. Возвращение к могиле Хранителя Sigis и скажите ему об этом.
QUEST_LV_0100_20150729_007723	Хранитель погоста Sigis попросил вас рассказать священнику Юта, что заклинание куклы был уничтожен.
QUEST_LV_0100_20150729_007724	Исследовать святыню секты
QUEST_LV_0100_20150729_007725	Как Юта слышал, что барьер был разблокирован, она хочет поехать туда и проверить это сам. Туда в первую очередь и дождаться Юта.
QUEST_LV_0100_20150729_007726	Священный объект уничтожен мерзости, которые появлялись.{nl}соединиться с Юта.
QUEST_LV_0100_20150729_007727	Юта сожалеет о своих противоправных веры. Помочь ей так, чтобы она могла извиниться перед Sigis.
QUEST_LV_0100_20150729_007728	Скажите Sigis Юта извинения Хранитель погоста Sigis
QUEST_LV_0100_20150730_007729	Когда я смотрю вокруг, я вижу святыню богини Zemyna. Я собираюсь туда, чтобы изучить его.{nl}, поскольку она принадлежит Zemyna, она даст мне ответы!{nl}
QUEST_LV_0100_20150730_007730	Я беспокоюсь, что трупы могут опять проснуться и прервать ритуал.{nl}когда вы идете в погребальную камеру туда, вы увидите гробы, где трупы находятся.{nl}пожалуйста, прежде чем уничтожить тех гробов трупы проснуться.
QUEST_LV_0100_20150730_007731	Я вижу священный объект с формой дерева, вон там.{nl}я думаю, что это священный предмет, который дерево секта правды " получил от богини Zemyna.{nl}деревьев символизирует богиню Zemyna поэтому я уверен, что богиня дала им священный объект!
QUEST_LV_0100_20150730_007732	Пока вы разрушаете гробы, будьте осторожны, что крышки гробов не открыть.{nl}я уничтожил несколько гробов себе, и я узнал, что трупы{nl}из гробов и нападать, когда крышки открыты.
QUEST_LV_0100_20150730_007733	Трупы не нападал с тех пор как ты разрушенные гробы.{nl}но, я не мог проверить на священный объект. Я не мог приблизиться к святыне.{nl}это было похоже, как будто что-то толкало меня.
QUEST_LV_0100_20150730_007734	Могила хранителя, который управляет катакомбы могут немного знаю о том, что священный объект {nl}и барьером, но я не мог говорить.{nl}, потому что он кричал на меня, пока я готовил для ритуала после захода сюда.{nl}не могли бы вы узнать о святыне богини из могилы хранитель по имени меня??
QUEST_LV_0100_20150730_007735	Когда я вошел в катакомбы, чтобы отыскать следы богини, с чем я столкнулась, были трупы, которые были прервав ритуал.{nl}осмотрев трупы выйдете из гробов, я разрушил гробы, прежде чем они проснуться.{nl}могиле хранителя, который видел, что кричали на меня безумно, потому что я не показывают уважение к умершему.{nl}я сделал это, потому что я думал, что было лучше, чем видеть трупы проснуться снова...
QUEST_LV_0100_20150730_007736	The sacred object of the goddess? What the hell? Are you on the same side with that rude Bokor?{nl}If that's so, then get out of here. Thinking about that Bokor makes makes me so angry.{nl}She destroyed all the coffins the corpses were in.{nl}I don't understand how she could do such thing!
QUEST_LV_0100_20150730_007737	Пожалуйста, отправьте мои слова в могилу хранителя. Я должен найти богиню Zemyna.{nl}метрополитен также территории Zemyna Богиня, так почему трупы вот воскрешение-это ведь богиня не здесь.
QUEST_LV_0100_20150730_007738	Это абсурд. Мертвые просыпаются снова...{nl}если кто-то сделал это намеренно, ничего не будет более обидно, чем этот!{nl}, кто бы вы подозреваете больше всего, когда трупы начали просыпаться из могилы??
QUEST_LV_0100_20150730_007739	Если это было действительно сделано Бокоро, тогда я должен помочь трупы, чтобы отдохнуть снова.{nl}они могут воскресить снова, если я похоронить их под землей, поэтому, пожалуйста, очисти их тела с уважение, используя этот факел.
QUEST_LV_0100_20150730_007740	Почему вы колеблетесь! Двигаться быстро! Я не могу на это смотреть...
QUEST_LV_0100_20150730_007741	Спасибо за помощь в их оставшуюся от имени меня...{nl}это было трудно для меня, как хранитель погоста на точку меча на тех людей, которые мне следует заботиться для.
QUEST_LV_0100_20150730_007742	Я увидел святыню богини, которая Бокор говорил раньше. Это священный объект, созданный ребятами в раздел дерево истины.{nl}они сказали, что являются официальными учениками Богиня Zemyna и поскольку эта могила принадлежит богине, они будут просить ее благословить это место.{nl}я думаю, что трупы начали просыпаться после того как ребята установили священный объект здесь.{nl}но, я не могу быть рядом с этой святыней.{nl}
QUEST_LV_0100_20150730_007743	...Ах! Это верно!{nl}когда вы идете глубоко внутрь, вы увидите окно, содержащее объекты, которые мой отец использовал.{nl}пожалуйста, вытащить заклинание куклы оттуда. Я должен идти, но я боюсь ходить через трупы...
QUEST_LV_0100_20150730_007744	Давным-давно, этот псих Бокор или Некромант приходил в катакомбы в тайне иногда.{nl}сделал некоторые безумные эксперименты на трупах здесь.{nl}мой отец сотворил заклинание куклы защищать катакомбы от тех, кто попытается испортить эту священную могилу.{nl}когда вы поставите магическую силу в заклинание куклы, он найдет энергию, которая загадила могилу и уничтожить эту энергию.
QUEST_LV_0100_20150730_007745	Наша семья охраняет могилу для будущих поколений. На Medzio Диена, мой отец попал в происшествие и скончался так я охраняю могилу после этого. Я ничему не научился от него, но теперь я стерегу здесь...
QUEST_LV_0100_20150730_007746	Да! Это заклинание куклы-это он! Я не использовал его долгое время, так что мне нужно проверить работает ли он должным образом.
QUEST_LV_0100_20150730_007747	Теперь принести эту куклу на место, где священный объект.{nl}если причиной пробуждения трупы здесь заключается в том, что священный предмет, заклинание куклы будет сломать барьер и разрушить святыню.
QUEST_LV_0100_20150730_007748	Это заклинание куклы, что мой отец использовал. Мы не будем иметь никаких проблем, если мы лишь наблюдает, как отец делал... просто нравится, как мой отец привык делать...
QUEST_LV_0100_20150730_007749	What...? What did you just say?{nl}The spell doll broke the barrier and attacked the sacred object, but the doll was destroyed instead?{nl}, что это невозможно... может быть, это был действительно священный объект богини так вот почему кукла была уничтожена...{nl}но тот факт, что куклу сломал барьер означает, что его власть-это порочный энергии...{nl}
QUEST_LV_0100_20150730_007750	Если это связано с богиней, я не могу справиться с этим сам.{nl}так как барьер был разрушен, задать Бокоро для проверки святыней, как хорошо.
QUEST_LV_0100_20150730_007751	Ух ты... ты сломал барьер. Это прекрасно.{nl}Хм... про куклу... может, кукла была нарушена. Это святыня богини Zemyna, но что вы подразумеваете под порочной энергии.{nl}
QUEST_LV_0100_20150730_007752	Anyways, since the barrier was destroyed, let's go with me. I will check it myself.{nl}Can you go there first? I will go right away when I am done preparing for the ritual.
QUEST_LV_0100_20150730_007753	Заклинание куклы... порочный энергии... Ahhaha... могила хранителя-это так смешно...
QUEST_LV_0100_20150730_007754	Я видел это... этот монстр... это был хранитель погоста... священный объект некоторое время назад не Zemyna это! Простите за эгоизм...
QUEST_LV_0100_20150730_007755	Из-за моей неправильной вере, я не подозревал порочный святыней и разбили гробы... я разочарован в себе...{nl}теперь, поскольку порочный святыня пропала, мои способности помогут успокоить беспорядок.{nl}
QUEST_LV_0100_20150730_007756	Чтобы выразить мои извинения, я хочу помочь могилу хранителя.{nl}можешь передать мои извинения ему??
QUEST_LV_0100_20150730_007757	Тех язычников! Они использовали имя богини и сделал это...{nl}они не должны оскорблять мертвых такой. Я хочу догнать их и заставить их заплатить за это...{nl}
QUEST_LV_0100_20150730_007758	Но, как хранитель погоста, я думаю, мы должны сначала стабилизировать катакомбы.{nl}Спасибо. Я понял, что я также должен заботиться о воскресших' остальное как хранитель погоста.{nl}поскольку Бокор сказал, что он мне поможет, защитит тех, что остались.{nl}
QUEST_LV_0100_20150730_007759	Дерево секта правды пересеклись здесь
QUEST_LV_0100_20150730_007760	Карлайл Мавзолей
QUEST_LV_0100_20150730_007761	.{nl}они собираются искать что-то, что будет использоваться для распространения своих доктрин...{nl}если вы получаете шанс пойти в Мавзолей Karail, пожалуйста расследовать о них.{nl}я думаю, что они безумны.
QUEST_LV_0100_20150730_007762	Ты не здесь... ты где пропал... Богиня Zemyna...
QUEST_LV_0100_20150730_007763	Об святыней богини
QUEST_LV_0100_20150730_007764	Причина, почему хранитель погоста был зол
QUEST_LV_0100_20150730_007765	Юта сказал вам, что он приехал сюда, чтобы отыскать богиню.
QUEST_LV_0100_20150730_007766	Я не заинтересован.
QUEST_LV_0100_20150730_007767	Заклинание куклы из могилы хранитель
QUEST_LV_0100_20150730_007768	Говорить/говорить/2/TRACK_BEFORE/никто
QUEST_LV_0100_20150730_007769	Подозрительных Верующих
QUEST_LV_0100_20150730_007770	Accroding к Юта, трупы вышли из гробов, что взлетел.{nl}уничтожить гробы, которые вышли из земли.
QUEST_LV_0100_20150730_007771	Вытащить заклинание куклы из коробки из могилы хранитель
QUEST_LV_0100_20150730_007772	Могила Хранителя Sigis просил тебя вытащить заклинание куклы из коробки из могилы хранителя.
QUEST_LV_0100_20150730_007773	Сдать приворот кукла из могилы хранитель полученные от коробки до Sigis.
QUEST_LV_0100_20150803_007774	Чтобы получить откровение, пожалуйста, перейдите Sirdgela лес.{nl}теперь есть шанс когда Демон Лорд Брэмбл восстанавливается его мощность.
QUEST_LV_0100_20150803_007775	Голос был мощный темная энергия.{nl}Вы лучше не опускайтесь еще ниже...
QUEST_LV_0100_20150803_007776	Старый Менеджер
QUEST_LV_0100_20150803_007777	Дух от обиды
QUEST_LV_0100_20150803_007778	Не волнуйтесь. Я дам вам рецепт противоядия.{nl}Ridimed листья оттуда будет достаточно, чтобы сделать это.
QUEST_LV_0100_20150803_007779	Могила хранителя, который управляет здесь, катакомбы могут немного знаю о том, что священный объект и барьер.{nl}но, я не могу говорить с могилой хранителя.{nl}
QUEST_LV_0100_20150803_007780	Могила хранителя кричал на меня, пока я готовилась к ритуалу здесь.{nl}вы можете спросить об святыней богини в могилу хранитель по имени меня??
QUEST_LV_0100_20150803_007781	Когда я вошел в катакомбы, чтобы отыскать следы богини, с чем я столкнулась, были трупы, которые были прервав ритуал.{nl}осмотрев трупы выйдете из гробов, я разрушил гробы, прежде чем они проснулись.{nl}
QUEST_LV_0100_20150803_007782	Могила хранителя кричал на меня, увидев, что.{nl}я думал, что было лучше, чем видеть эти трупы проснуться снова...
QUEST_LV_0100_20150803_007783	The sacred object of the goddess? What the hell. Are you on the same side with that rude Bokor?{nl}If that's so, get out from this place. I get mad whenever I think about that Bokor.{nl}
QUEST_LV_0100_20150803_007784	Он разрушил гробы услышав, что трупы воскрешать!{nl}я не знаю, как он смог сделать это!
QUEST_LV_0100_20150803_007785	Я увидел святыню богини, которая Бокор говорил раньше. Это священный объект, созданный ребятами в раздел дерево истины.{nl}они сказали, что являются официальными учениками Богиня Zemyna и поскольку эта могила принадлежит богине, они будут просить ее благословить это место.{nl}
QUEST_LV_0100_20150803_007786	Я думаю, что трупы начали воскресать, когда ребята из дерева секты истину установить святыней здесь.{nl}но, я не могу приблизиться к святыне. Кажется, что есть некий барьер, который не позволяет людям рядом...{nl}
QUEST_LV_0100_20150803_007787	Давным-давно, этот псих Бокор или Некромант приходил в катакомбы в тайне иногда.{nl}сделал некоторые безумные эксперименты на трупах здесь.{nl}
