ITEM_20150317_000001	Пустой шлем 
ITEM_20150414_004789	Яд из неопознанный кинжал. Он вроде бы связан с кожаной отмечен магический круг. 
ITEM_20150414_004790	Устройство, которое контролирует рост монстров. Это вроде бы тоже работают на урожай. 
ITEM_20150414_004791	Противоядие рецепт написан Охотник Мастер. Совместить детоксикации растворителя с Rimedeed листьев. 
ITEM_20150414_004792	Шарлотта специальное зелье 
ITEM_20150414_004793	Специальное зелье, которое только Шарлотта знает как сделать. Это вызывает растения вянут, умирают. 
ITEM_20150428_004794	Это оборудование поможет вам в бою. 
ITEM_20150428_004795	Yorgis Badelaire 
ITEM_20150428_004796	Улучшенный Дио Меч 
ITEM_20150428_004797	Улучшенный Молотить Мечом 
ITEM_20150428_004798	Улучшенный Sestas Меч 
ITEM_20150428_004799	Улучшенный Dratt Меч 
ITEM_20150428_004800	Улучшенный Астон Меч 
ITEM_20150428_004801	Flame 
ITEM_20150428_004802	Galatunis Меч 
ITEM_20150428_004803	Eyestra Меч 
ITEM_20150428_004804	Yorgis Katzbalger 
ITEM_20150428_004805	Улучшенный Дио двуручный меч 
ITEM_20150428_004806	Улучшенный молотить двуручный меч 
ITEM_20150428_004807	Улучшенный Sestas двуручный меч 
ITEM_20150428_004808	Улучшенный Dratt двуручный меч 
ITEM_20150428_004809	Улучшенный Астон двуручный меч 
ITEM_20150428_004810	Видел 
ITEM_20150428_004811	Galatunis двуручный меч 
ITEM_20150428_004812	Eyestra двуручный меч 
ITEM_20150428_004813	Yorgis Изменить Род 
ITEM_20150428_004814	Выше Дал Род 
ITEM_20150428_004815	Улучшенный Молотить Штанги 
ITEM_20150428_004816	Выше Sestas Род 
ITEM_20150428_004817	Улучшенный Dratt Штанги 
ITEM_20150428_004818	Улучшенный Астон Штанги 
ITEM_20150428_004819	Galatunis Штанги 
ITEM_20150428_004820	Eyestra Штанги 
ITEM_20150428_004821	Yorgis Осада Лук 
ITEM_20150428_004822	Выше Дал Лук 
ITEM_20150428_004823	Улучшенный Молотить Лук 
ITEM_20150428_004824	Выше Sestas Bow 
ITEM_20150428_004825	Улучшенный Dratt Лук 
ITEM_20150428_004826	Улучшенный Астон Лук 
ITEM_20150428_004827	Galatunis Лук 
ITEM_20150428_004828	В Excel Лук 
ITEM_20150428_004829	Yorgis Glados Fedimian 
ITEM_20150428_004830	Galatunis Арбалет 
ITEM_20150428_004831	Eyestra Арбалет 
ITEM_20150428_004832	Улучшенный Сделал Булаву 
ITEM_20150428_004833	Улучшенный Молотить Булаву 
ITEM_20150428_004834	Выше Sestas Мейс 
ITEM_20150428_004835	Улучшенный Dratt Булаву 
ITEM_20150428_004836	Супериор Астон Булаву 
ITEM_20150428_004837	Galatunis Булаву 
ITEM_20150428_004838	Eyestra Булаву 
ITEM_20150428_004839	 - Вызывает взрыв после каждый 10-й подряд атаки. 
ITEM_20150428_004840	Кажется слабым, но это вызывает взрыв на пользователя 10-й атаки. 
ITEM_20150428_004841	Yorgis Alchupiz 
ITEM_20150428_004842	Улучшенный Молотить Копье 
ITEM_20150428_004843	Sestas Копье 
ITEM_20150428_004844	Улучшенный Sestas Копье 
ITEM_20150428_004845	Улучшенный Dratt Копье 
ITEM_20150428_004846	Улучшенный Астон Копье 
ITEM_20150428_004847	Galatunis Копье 
ITEM_20150428_004848	Гэмбл 
ITEM_20150428_004849	Yorgis Alchupiz 
ITEM_20150428_004850	Выше Sestas Пайк 
ITEM_20150428_004851	Dratt Щука 
ITEM_20150428_004852	Улучшенный Дротик Щука 
ITEM_20150428_004853	Астон Щука 
ITEM_20150428_004854	Улучшенный Астон Щука 
ITEM_20150428_004855	Galatunis Щука 
ITEM_20150428_004856	Eyestra Щука 
ITEM_20150428_004857	Yorgis Нож 
ITEM_20150428_004858	Yorgis Стали Сотрудники 
ITEM_20150428_004859	Дио, Отличный Персонал 
ITEM_20150428_004860	Улучшенный Молотить Персонала 
ITEM_20150428_004861	Превосходный Персонал Sestas 
ITEM_20150428_004862	Улучшенный Дротик Персонала 
ITEM_20150428_004863	Улучшенный Астон Персонала 
ITEM_20150428_004864	Galatunis Персонала 
ITEM_20150428_004865	Eyestra Персонала 
ITEM_20150428_004866	Верхний Aston Pistol 
ITEM_20150428_004867	Нужно Пистолет 
ITEM_20150428_004868	Земля Перчатки 
ITEM_20150428_004869	Земле Сапоги 
ITEM_20150428_004870	Земля Брюки 
ITEM_20150428_004871	Земля Халат 
ITEM_20150428_004872	Кожаные Перчатки Земли 
ITEM_20150428_004873	Кожаные Сапоги Земли 
ITEM_20150428_004874	Кожаные Брюки Земле 
ITEM_20150428_004875	Кожаная Броня Земли 
ITEM_20150428_004876	Земля Плита Рукавицы 
ITEM_20150428_004877	Земля Тарелку Шкварок 
ITEM_20150428_004878	Земля Плита Брюки 
ITEM_20150428_004879	Земля Латы 
ITEM_20150428_004880	Legwyn Семейные Перчатки 
ITEM_20150428_004881	Доспехи, используемые Legwyn семьи. 
ITEM_20150428_004882	Legwyn Семьи Сапоги 
ITEM_20150428_004883	Legwyn Семейные Штаны 
ITEM_20150428_004884	Legwyn Семья Халат 
ITEM_20150428_004885	Legwyn Семьи Кожаные Перчатки 
ITEM_20150428_004886	Legwyn Семьи Кожаные Сапоги 
ITEM_20150428_004887	Legwyn Семьи Кожаные Штаны 
ITEM_20150428_004888	Legwyn Семья Кожаный Доспех 
ITEM_20150428_004889	Legwyn Семья Плиты Рукавицы 
ITEM_20150428_004890	Legwyn Семейные Тарелку Шкварок 
ITEM_20150428_004891	Legwyn Семья Плиты Штаны 
ITEM_20150428_004892	Legwyn Семьи Латы 
ITEM_20150428_004893	Мерзость Ожерелье 
ITEM_20150428_004894	Мерзость Браслет 
ITEM_20150428_004895	Цветок Филиал 
ITEM_20150428_004896	Суповой Набор 
ITEM_20150428_004897	Увеличивает скорость передвижения на 2 в течение 180 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004898	Этот фрукт имеет кисло-сладкий вкус. {nl}восстанавливает HP каждые 2 секунды. 180 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. 
ITEM_20150428_004899	Кристалл, полученный путем обработки куска хрусталя. {nl}это защитит вас от ядовитого газа из 2 блоков. 
ITEM_20150428_004900	Кристалл, полученный путем обработки куска хрусталя. {nl}восстанавливает HP каждые 2 секунды. 440 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004901	Кристалл, полученный путем обработки куска хрусталя. {nl}восстанавливает СП каждые 2 секунды. 280 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004902	Кристалл, полученный путем обработки куска хрусталя. {nl}увеличивает скорость передвижения на 2 в течение 180 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004903	Attack Booster +10 
ITEM_20150428_004904	Adds +10 damage to your weapon. {nl}Can be used after assigning it to a quick slot.
ITEM_20150428_004905	Attack Booster +15 
ITEM_20150428_004906	Adds +15 damage to your weapon. {nl}Can be used after assigning it to a quick slot.
ITEM_20150428_004907	Attack Booster +20 
ITEM_20150428_004908	Adds +20 damage to your weapon. {nl}Can be used after assigning it to a quick slot.
ITEM_20150428_004909	Концентрированной НР зелье значения lv1 
ITEM_20150428_004910	Восстанавливает HP каждые 2 секунды. {nl}800 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004911	Концентрированный СП зелье значения lv1 
ITEM_20150428_004912	Восстанавливает СП каждые 2 секунды. {nl}640 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004913	Концентрированный Выносливость Таблетку Значения Lv1 
ITEM_20150428_004914	Восстанавливает 50 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004915	Концентрированный Увеличения Скорости Передвижения Зелье Значения Lv1 
ITEM_20150428_004916	Увеличивает скорость передвижения на 5 на 180 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004917	Концентрированной НР зелье Lv2 
ITEM_20150428_004918	Восстанавливает HP каждые 2 секунды. {nl}800 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004919	Концентрированной НР зелье Lv3 
ITEM_20150428_004920	Восстанавливает HP каждые 2 секунды. {nl}960 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004921	Концентрированное зелье НР Lv4 
ITEM_20150428_004922	Восстанавливает HP каждые 2 секунды. {nl}1040 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004923	Концентрированное зелье НР Lv5 
ITEM_20150428_004924	Восстанавливает HP каждые 2 секунды. {nl}1120 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004925	Концентрированное зелье НР Lv6 
ITEM_20150428_004926	Восстанавливает HP каждые 2 секунды. {nl}1200 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004927	Концентрированное зелье НР Lv7 
ITEM_20150428_004928	Восстанавливает HP каждые 2 секунды. {nl}1280 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004929	Концентрированной НР зелье в lv8 
ITEM_20150428_004930	Восстанавливает HP каждые 2 секунды. {nl}1360 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004931	Концентрированное зелье Lv9 л. с. 
ITEM_20150428_004932	Восстанавливает HP каждые 2 секунды. {nl}1440 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004933	Концентрированное зелье НР Lv10 
ITEM_20150428_004934	Восстанавливает HP каждые 2 секунды. {nl}1520 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004935	Концентрированное зелье НР Lv11 
ITEM_20150428_004936	Восстанавливает HP каждые 2 секунды. {nl}1600 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004937	Концентрированное зелье НР Lv12 
ITEM_20150428_004938	Восстанавливает HP каждые 2 секунды. {nl}1680 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004939	Концентрированное зелье НР Lv13 
ITEM_20150428_004940	Восстанавливает HP каждые 2 секунды. {nl}1760 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004941	Концентрированное зелье НР Lv14 
ITEM_20150428_004942	Восстанавливает HP каждые 2 секунды. {nl}1840 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004943	Концентрированное зелье НР Lv15 
ITEM_20150428_004944	Восстанавливает HP каждые 2 секунды. {nl}900 HP восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004945	Концентрированный СП зелье Lv2 
ITEM_20150428_004946	Восстанавливает СП каждые 2 секунды. {nl}704 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004947	Концентрированный СП зелье Lv3 
ITEM_20150428_004948	Восстанавливает СП каждые 2 секунды. {nl}768 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004949	Концентрированный СП зелье Lv4 
ITEM_20150428_004950	Восстанавливает СП каждые 2 секунды. {nl}832 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004951	Концентрированный СП зелье Lv5 
ITEM_20150428_004952	Восстанавливает СП каждые 2 секунды. {nl}896 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004953	Концентрированный СП зелье Lv6 
ITEM_20150428_004954	Восстанавливает СП каждые 2 секунды. {nl}960 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004955	Концентрированный СП зелье Lv7 
ITEM_20150428_004956	Восстанавливает СП каждые 2 секунды. {nl}1024 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004957	Концентрированный СП зелье в lv8 
ITEM_20150428_004958	Восстанавливает СП каждые 2 секунды. {nl}1088 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004959	Концентрированный СП зелье Lv9 
ITEM_20150428_004960	Восстанавливает СП каждые 2 секунды. {nl}1152 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004961	Концентрированный СП зелье Lv10 
ITEM_20150428_004962	Восстанавливает СП каждые 2 секунды. {nl}1216 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004963	Концентрированный СП зелье Lv11 
ITEM_20150428_004964	Восстанавливает СП каждые 2 секунды. {nl}1280 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004965	Концентрированный СП зелье Lv12 
ITEM_20150428_004966	Восстанавливает СП каждые 2 секунды. {nl}1344 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004967	Концентрированный СП зелье Lv13 
ITEM_20150428_004968	Восстанавливает СП каждые 2 секунды. {nl}1408 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004969	Концентрированный СП зелье Lv14 
ITEM_20150428_004970	Восстанавливает СП каждые 2 секунды. {nl}1472 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004971	Концентрированный СП зелье Lv15 
ITEM_20150428_004972	Восстанавливает СП каждые 2 секунды. {nl}1536 СП восстанавливается за 15 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 45 секунд. 
ITEM_20150428_004973	Концентрированные Пилюли Выносливости Lv2 
ITEM_20150428_004974	Восстанавливает 52 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004975	Концентрированные Пилюли Выносливости Lv3 
ITEM_20150428_004976	Восстанавливает 54 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004977	Концентрированные Пилюли Выносливости Lv4 
ITEM_20150428_004978	Восстанавливает 56 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004979	Концентрированные Пилюли Выносливости Lv5 
ITEM_20150428_004980	Восстанавливает 58 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004981	Концентрированные Пилюли Выносливости Lv6 
ITEM_20150428_004982	Восстанавливает 60 выносливости. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004983	Концентрированные Пилюли Выносливости Lv7 
ITEM_20150428_004984	Восстанавливает 62 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004985	Концентрированный Выносливость Таблетку В Lv8 
ITEM_20150428_004986	Восстанавливает 64 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004987	Концентрированные Пилюли Выносливости Lv9 
ITEM_20150428_004988	Восстанавливает 66 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004989	Концентрированные Пилюли Выносливости Lv10 
ITEM_20150428_004990	Восстанавливает 68 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004991	Концентрированные Пилюли Выносливости Lv11 
ITEM_20150428_004992	Восстанавливает 70 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004993	Концентрированные Пилюли Выносливости Lv12 
ITEM_20150428_004994	Восстанавливает 72 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004995	Концентрированные Пилюли Выносливости Lv13 
ITEM_20150428_004996	Восстанавливает 74 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004997	Концентрированные Пилюли Выносливости Lv14 
ITEM_20150428_004998	Восстанавливает 76 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_004999	Концентрированные Пилюли Выносливости Lv15 
ITEM_20150428_005000	Восстанавливает 78 выносливость. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005001	Концентрированный Увеличения Скорости Передвижения Зелье Lv2 
ITEM_20150428_005002	Увеличивает скорость передвижения на 4 за 185 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005003	Концентрированный Увеличения Скорости Передвижения Зелье Lv3 
ITEM_20150428_005004	Увеличивает скорость передвижения на 4 за 190 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005005	Концентрированный Увеличения Скорости Передвижения Зелье Lv4 
ITEM_20150428_005006	Увеличивает скорость передвижения на 4 за 195 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005007	Концентрированный Увеличения Скорости Передвижения Зелье Lv5 
ITEM_20150428_005008	Увеличивает скорость передвижения на 4 за 200 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005009	Концентрированный Увеличения Скорости Передвижения Зелье Lv6 
ITEM_20150428_005010	Увеличивает скорость передвижения на 4 за 205 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005011	Концентрированный Увеличения Скорости Передвижения Зелье Lv7 
ITEM_20150428_005012	Увеличивает скорость передвижения на 4 за 210 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005013	Концентрированное Зелье Увеличения Скорости Передвижения В Lv8 
ITEM_20150428_005014	Увеличивает скорость передвижения на 4 за 215 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005015	Концентрированный Увеличения Скорости Передвижения Зелье Lv9 
ITEM_20150428_005016	Увеличивает скорость передвижения на 4 за 220 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005017	Концентрированный Увеличения Скорости Передвижения Зелье Lv10 
ITEM_20150428_005018	Увеличивает скорость передвижения на 4 за 225 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005019	Концентрированный Увеличения Скорости Передвижения Зелье Lv11 
ITEM_20150428_005020	Увеличивает скорость передвижения на 4 за 230 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005021	Концентрированный Увеличения Скорости Передвижения Зелье Lv12 
ITEM_20150428_005022	Увеличивает скорость передвижения на 4 за 235 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005023	Концентрированный Увеличения Скорости Передвижения Зелье Lv13 
ITEM_20150428_005024	Увеличивает скорость передвижения на 4 за 240 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005025	Концентрированный Увеличения Скорости Передвижения Зелье Lv14 
ITEM_20150428_005026	Увеличивает скорость передвижения на 4 за 245 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005027	Концентрированный Увеличения Скорости Передвижения Зелье Lv15 
ITEM_20150428_005028	Увеличивает скорость передвижения на 4 за 250 секунд. {nl}щелкните правой кнопкой мыши для использования. Кулдаун 30 секунд. 
ITEM_20150428_005029	Master Genie Card 
ITEM_20150428_005030	Merregina Карта 
ITEM_20150428_005031	Templeshooter Карта 
ITEM_20150428_005032	Панто Маг Тростника Украшения 
ITEM_20150428_005033	Если вы забыли какую сторону трости он был установлен, он будет направляться к вам. 
ITEM_20150428_005034	Провод 
ITEM_20150428_005035	Трудно увидеть, потому что она настолько тонкая. 
ITEM_20150428_005036	Мерный Фрагмент 
ITEM_20150428_005037	Она появляется, когда пространство-время искажается. 
ITEM_20150428_005038	Oak 
ITEM_20150428_005039	Разорванный дневник, страница крестьянина, который жил в деревне вперед. Прочитать что внутри. 
ITEM_20150428_005040	Дневник неизвестного искателя приключений, который изучает Legwyn семейном особняке. Читаемым. 
ITEM_20150428_005041	Ответ письма от человека по имени Beikeol. Читаемым. 
ITEM_20150428_005042	Заявление кого-то из Legwyn семьи, кто заказал товар. Это за лекарство, которое имеет опасный побочный эффект. Он читабелен. 
ITEM_20150428_005043	Грязный журнал обнаружен в Водный путь. Дневник владельца имя неразборчиво. Читаемым. 
ITEM_20150428_005044	Таким старым кажется, что он рассыплется при малейшем прикосновении. Читаемым. 
ITEM_20150428_005045	Записка, оставленная Пилигрим очень давно. Читаемым. 
ITEM_20150428_005046	Похоже, он был оставлен здесь в качестве последней отчаянной попытке некоторых Пилигрим. Читаемым. 
ITEM_20150428_005047	Часть паломника порванный дневник. Читаемым. 
ITEM_20150428_005048	В торопливой записи странника. Читаемым. 
ITEM_20150428_005049	Завещание, оставленное умирающим Пилигрим. Читаемым. 
ITEM_20150428_005050	Обгоревший журнал, оставленные паломниками. Читаемым. 
ITEM_20150428_005051	Потерянный дневник какой-то. Читаемым. 
ITEM_20150428_005052	Кажется исписанный дневник, написанный кем-то в ярости. Смотрит внимательно, кажется читабельным. 
ITEM_20150428_005053	Журнал человек нашел в месте, где человечество не пустили. Прочитать что внутри. 
ITEM_20150428_005054	Заказ сделал в Vakarine команды. Прочитать что внутри. 
ITEM_20150428_005055	Приказ, который был написан и прикреплен здесь давным-давно. Читаемым. 
ITEM_20150428_005056	Документ записан во времена Великого короля Zachariel. Читаемым. 
ITEM_20150428_005057	Предупреждения от сотни лет назад. Прочитать что внутри. 
ITEM_20150428_005058	Небрежно скомкал послание. Это кажется едва читаемым. 
ITEM_20150428_005059	Торжественное веревки, что Панто Маг нес вокруг. 
ITEM_20150428_005060	Mallar Fat: 
ITEM_20150428_005061	Сало в Mallardu, что хорошо сохранился и будет гореть легко. Разбудить Непентеса с ней. 
ITEM_20150428_005062	Первое откровение найден в алмазной шахте. Читаемым. 
ITEM_20150428_005063	Pawndel душу
ITEM_20150428_005064	Второе откровение нашли в Тенета Церкви. Читаемым. 
ITEM_20150428_005065	Кусок мяса Kepo 
ITEM_20150428_005066	Мясной рулет, который может быть легко получен из Kepo. Однако, вы не можете съесть его как есть. 
ITEM_20150428_005067	Третье откровение нашли в терновом лесу. Читаемым. 
ITEM_20150428_005068	Четвертое откровение нашли в королевский Мавзолей. Читаемым. 
ITEM_20150428_005069	Шестое откровение нашли в большом соборе. Читаемым. 
ITEM_20150428_005070	Есть претензии, что голос короля можно услышать в Королевском мавзолее Contructor часовне. 
ITEM_20150428_005071	Экспериментальный реагент Грация души, что дал тебе. 
ITEM_20150428_005072	Экспериментальный Реагент 
ITEM_20150428_005073	Сказал чтобы выявить монстров, которые убили паломников под проклятием ярость, когда распыляется на них. Однако, это все еще является экспериментальной. 
ITEM_20150428_005074	Пятое откровение нашли в большом соборе. Читаемым. 
ITEM_20150511_005075	Featherfoot Костюм 
ITEM_20150511_005076	Пламя Костюмы 
ITEM_20150511_005077	Резонанс Кристалла 
ITEM_20150511_005078	Таинственный кристалл, оброненный Vubbe. Он резонирует при использовании вблизи устройства в Лот 2 - 2-ой этаж.
ITEM_20150511_005079	Varkis завершенные научные доклады. Содержит информацию, относящуюся к королевскому Мавзолею. Читаемым. 
ITEM_20150511_005080	Старый свиток скрыт Пиромантов. Читаемым. 
ITEM_20150511_005081	Блак отчет. Содержит разведал информацию ближайшего района. Читаемым. 
ITEM_20150511_005082	Йорке доклад. Он содержит информацию о недавно увеличил монстра деятельности. Взять его лейтенанта Волда. Читаемым. 
ITEM_20150511_005083	Журнал, который Varkis записал всю его жизнь. Похоже, он высоко ценил его. Читаемым. 
ITEM_20150511_005084	Вся информация о будущих операциях вместе с картой. Читаемым. 
ITEM_20150511_005085	Разведывательный отчет Закат флаг лесу. Почесал в письменной форме дает жуткое ощущение. Читаемо, но...
ITEM_20150511_005086	Файл папку, содержащую исследовательские отчеты Королевский Мавзолей. Читаемым. 
ITEM_20150511_005087	Архив, который Джонас посвятил свою жизнь, чтобы создать. Читаемым. 
ITEM_20150511_005088	Отчет по совместным расследованиям член Скотта о подозрительной активности в районе. Читаемым. 
ITEM_20150511_005089	Он весь в крови и не может быть прочитан. Некоторые части читаются хорошо. 
ITEM_20150511_005090	Сертификации награждаются солдаты, которые благополучно закончили обучение. Читал он с гордостью. 
ITEM_20150511_005091	Кожа, которая может быть использована различными способами. Возраст кожи означает, что он может быть использован немедленно. 
ITEM_20150511_005092	Аналитический отчет проиграл новичку Королевский Мавзолей исследователь. Кто-то наступил на него и размытые символы. Это едва читаемым. 
ITEM_20150511_005093	Инструкции о том, как устранить колючие лозы. Ознакомиться с ней. 
ITEM_20150511_005094	Разрешение необходимо для того, кораблям войти в гавань. Читаемым. 
ITEM_20150511_005095	Связной Примечание. Он же сказал не читать, но... надо ли?? 
ITEM_20150511_005096	Сначала втирают Лидии Schaffen надгробии. Прочитать что внутри. 
ITEM_20150511_005097	Второе втирание Лидия Schaffen надгробии. Прочитать что внутри. 
ITEM_20150511_005098	Третий втирают Лидия Schaffen надгробии. Прочитать что внутри. 
ITEM_20150511_005099	Четвертый втирают Лидия Schaffen надгробии. Прочитать что внутри. 
ITEM_20150511_005100	Пятый втирают Лидия Schaffen надгробии. Прочитать что внутри. 
ITEM_20150511_005101	Старые документы, которые описывают, как можно превратиться в демона. Прочитать что внутри. 
ITEM_20150511_005102	Письмо Horacious написал для заимствования сельхозтехники. Читаемым. 
ITEM_20150511_005103	Часть 2 Varkis исследований было обнаружено в Dykyne перекрестке. Читаемым. 
ITEM_20150511_005104	Часть 3 Varkis исследований было обнаружено в змеиную шею блеф. Читаемым. 
ITEM_20150511_005105	Часть 4 Varkis исследований было обнаружено в Ипати скалы. Читаемым. 
ITEM_20150511_005106	Varkis's research (5) 
ITEM_20150511_005107	Часть 4 Varkis исследований. Читаемым. 
ITEM_20150511_005108	Священник Yosana научный доклад. Он содержит информацию о выражение проклятия. Читаемым. 
ITEM_20150511_005109	Священник города roana научный доклад. Он содержит информацию по снятию проклятий. Читаемым. 
ITEM_20150511_005110	Священник Projit научный доклад. В нем содержится информация о последствиях проклятия и как они пропагандой. Читаемым. 
